Código,Código de barras,Marca,Tipo de Chip,Multichip,Tipo de Tela,Tamanho do Display,Resolução,Câmera Traseira,Câmera Frontal,Filmadora,Processador,Memória RAM,Memória Interna,Expansivo até?,Banda,Conexões,"Alimentação, tipo de bateria",Conteúdo da Embalagem,Garantia do Fornecedor,Dimensões do produto - cm (AxLxP),Modelo,Referência do Modelo,SAC,Cor,Preço
6603672025,7892509125666,Samsung Celular,Nano Chip,Dual Chip,PLS LCD,6.6'',1080 x 2408 (FHD+),50MP + 5MP + 2MP + 2MP,8MP,Full HD,Octa-Core,4GB,128GB,MicroSD até 1TB,"""FDD: N1(2100),N3(1800),N5(850),N7(2600),N28(700),N66(AWS-3) TDD: N40(2300),N41(2500),N78(3500)""","Wi-Fi, 3G, 4G e 5G",Bateria de Íons de Lítio de 5.000mAh Bivolt,"Aparelho celular, Cabo USB, Extrator de Chip e Manual do usuário",12 Meses,16.8 x 7.8 x 0.9cm,SM-A236M/DSN,Galaxy A14 5G 128GB,4004-0000 (Capitais e grandes centros) ou 0800-124-421 (Demais cidades e regiões),Preto,"R$ 1.349,00"
7466723006,7892597353064,Samsung,Nano-SIM (4FF),Dual Chip,Super AMOLED,"6.4""",1080 x 2340 (FHD+),50MP + 2MP + 2MP,13MP,UHD 4K,Octa-Core,8GB,128GB,MicroSD até 1TB,"GSM850,GSM900,DCS1800,PCS1900 / B1(2100),B2(1900),B4(AWS),B5(850),B8(900) / B1(2100),B2(1900),B3(1800),B4(AWS),B5(850),B7(2600),B8(900),B12(700),B13(700),B17(700) / B20(800),B26(850),B28(700),B32(1500),B66(AWS-3) / FDD: N1(2100),N3(1800),N5(850),N7(2600),N8(900),N28(700),N66(AWS-3) / TDD: N40(2300),N41(2500),N78(3500)","Wi-Fi,3G,4G",Ions de Lítio 5000mAh,"Aparelho celular, carregador, cabo USB, Extrator de Chip e manual do usuário",12 Meses,"15,8x7,6x0,8cm",Smartphone motorola moto e13 64gb 4gb ram - verde,Galaxy A54 5G 128GB,4004-0000 (Capitais e grandes centros) ou 0800-124-421 (Demais cidades e regiões),Verde,"R$ 578,99"
4818919718,7892597352036,Samsung,Nano-SIM (4FF),Dual Chip,Super AMOLED,"6.6""",1080 x 2340 (FHD+),50MP + 12MP + 5MP,32MP,UHD 4K,Octa-Core 2.4GHz,6GB,128GB,MicroSD até 1TB,"GSM850,GSM900,DCS1800,PCS1900 / B1(2100),B2(1900),B4(AWS),B5(850),B8(900) / B1(2100),B2(1900),B3(1800),B4(AWS),B5(850),B7(2600),B8(900),B12(700),B13(700),B17(700) / B20(800),B26(850),B28(700),B66(AWS-3) / FDD: N1(2100),N3(1800),N5(850),N7(2600),N8(900),N28(700),N66(AWS-3) / TDD: N40(2300),N41(2500),N78(3500)","Wi-Fi, 3G, 4G e 5G",Íons de Lítio 5000mAh,"Aparelho celular, carregador, cabo USB, Extrator de Chip e manual do usuário",12 Meses,"16,1x7,81x0,82cm",XT2231-1,Galaxy A34 5G 128GB,4004-0000 (Capitais e grandes centros) ou 0800-124-421 (Demais cidades e regiões),"Preto,Azul,Verde","R$ 899,00"
4820514744,7892509123099,Samsung,Nano Chip,Dual Chip,Super AMOLED,6.5'',1080 x 2400 (FHD+),48MP + 8MP + 5MP,13MP,UHD 8K,Octa-Core 2.6GHz,6GB,128GB,MicroSD até 1TB,"B1(2100),B2(1900),B4(AWS),B5(850),B8(900)			
B1(2100),B2(1900),B3(1800),B4(AWS),B5(850),B7(2600),B8(900),B12(700),B13(700),B17(700),B20(800),B26(850),B28(700),B32(1500),B66(AWS-3)			
""FDD: N1(2100),N3(1800),N5(850),N7(2600),N8(900),N28(700)
TDD: N40(2300),N41(2500),N78(3500)""","Wi-Fi,3G,4G,5G",Bateria de Íons de Lítio de 4.500mAh Bivolt,"1 Telefone,1 Capa Protetora,1 Kit De Manuais,1 Fone De Ouvido Estéreo,1 Cabo De Sincronização,1 Carregador Turbopower™,1 Ferramenta De Remoção Do Chip",12 Meses,"15,8.x7,4x0,84cm",SM-G781B/DS,Galaxy S20 FE 5G,4004-0000 (Capitais e grandes centros) ou 0800-124-421 (Demais cidades e regiões),Branco,"R$ 1.699,99"
7462407991,7892597352647,Motorola,Nano Chip,Dual Chip,LCD TFT,6.5'',720 x 1600 (HD+),50 mp ois + 13 mp,32 mp,Full HD,"Dimensity 8020 (2,6 GHz Octa-Core) Mali-G77 MC9",2GB,32GB,MicroSD até 1TB,"B1(2100),B2(1900),B3(1800),B4(AWS),B5(850),B7(2600),B8(900),B12(700),B17(700),B28(700),B66(AWS-3)","Wi-Fi, 2G, 3G, 4G e 5G",Bateria de Íons de Lítio de 5000mAh Bivolt,"Aparelho celular, Carregador, Cabo USB, Extrator de Chip e Manual do usuário.",12 Meses,"16,42x7,59x0,91cm",Moto G,Galaxy A03 Core,4004-0000 (Capitais e grandes centros) ou 0800-124-421 (Demais cidades e regiões),"Grafite, Prata e Rosê","R$ 1.079,10"
7330596898,7892509127035,Motorola,Nano Chip,Dual Chip,Super AMOLED,"6.4""",2340 x 1080 (FHD+),Câmera Tripla Traseira de 12MP (Ultra Wide) + 12MP (OIS) + 8MP (Telephoto),32MP,UHD 8K,Octa-Core 2.8GHz,6GB,128GB,Não possui entrada para cartão de memória,"N1(2100),N3(1800),N5(850),N7(2600),N8(900),N20(800),N28(700),N66(AWS-3)","Wi-Fi, 2G, 3G, 4G e 5G",Bateria de Íons de Lítio de 4.500mAh Bivolt,Celular. carregador. cabo usb. extrator de chip e manual do usuário.,12 Meses,"15,57x7,45x0,79cm",SM-A146MLGRZTO,Galaxy S21 FE 5G 128 GB,4004-0000 (Capitais e grandes centros) ou 0800-124-421 (Demais cidades e regiões),Prata,"R$ 1.159,00"
7468566345,7892509125796,Motorola,Nano Chip,Dual Chip,PLS LCD,6.6'',1080 x 2408 (FHD+),8MP,5MP,Full HD,Octa-Core 1.6GHz,4GB,128GB,MicroSD até 1TB,"""FDD: N1(2100),N3(1800),N5(850),N7(2600),N28(700),N66(AWS-3) TDD: N40(2300),N41(2500),N78(3500)""","Wi-Fi, 3G, 4G e 5G",Bateria de Íons de Lítio de 5.000mAh Bivolt,"Aparelho celular, Carregador, Cabo USB, Extrator de Chip e Manual do usuário",12 Meses,16.8 x 7.8 x 0.9cm,A04s,Galaxy A14 5G 128GB,4004-0000 (Capitais e grandes centros) ou 0800-124-421 (Demais cidades e regiões),Preto,"R$ 664,40"
7433195464,7892509128810,Samsung,Nano Chip,Dual Chip,PLS TFT LCD,6.6'',1080 x 2408 (FHD+),12 MP + 12 MP + 8 MP,32MP,Full HD,Octa-Core 2.9GHz,4GB,128GB,MicroSD até 1TB,"""FDD: N1(2100),N3(1800),N5(850),N7(2600),N28(700),N66(AWS-3) TDD: N40(2300),N41(2500),N78(3500)""","Wi-Fi,3G,4G",Bateria de Íons de Lítio de 5.000mAh Bivolt,"Aparelho celular, carregador, cabo USB, Extrator de Chip e manual do usuário",12 meses,"16,5x7,6x0,84cm",A24,Galaxy A23 5G,4004-0000 (Capitais e grandes centros) ou 0800-124-421 (Demais cidades e regiões),Preto,"R$ 1.037,85"
5396421839,7892509125550,Motorola,Nano Chip,Dual Chip,LCD IPS,6.5'',HD+ (720 x 1600),50MP + 2MP + 2MP,13MP,Full HD,Octa-Core,4GB,128GB,MicroSD até 1TB,"""2G - GSM 850/900/1800/1900 MHz
 3G - WCDMA 850/900/1700/1900/2100 MHz
 4G - LTE B1/B2/B3/B4/B5/B7/B8/B13/B26/B28/B38/B40/B66""","Wi-Fi, 3G, 4G e 5G",5000 mAh,"Aparelho celular, carregador, cabo USB, Extrator de Chip e manual do usuário",12 Meses,"16,3x7,5x0.85cm",SM-A032M/DS,XT2233-1,4002-1244 Capitais e Regiões Metropolitanas ou 0800 773-1244 - Demais Regiões,PRETO,"R$ 649,00"
6603672033,7892509125659,Motorola,Nano Chip,Dual Chip,Super AMOLED,6.5'',1080 x 2400 (FHD+),50MP + 5MP + 2MP + 2MP,8MP,UHD 8K,Octa-Core,6GB,128GB,MicroSD até 1TB,"B1(2100),B2(1900),B4(AWS),B5(850),B8(900)			
B1(2100),B2(1900),B3(1800),B4(AWS),B5(850),B7(2600),B8(900),B12(700),B13(700),B17(700),B20(800),B26(850),B28(700),B32(1500),B66(AWS-3)			
""FDD: N1(2100),N3(1800),N5(850),N7(2600),N8(900),N28(700)
TDD: N40(2300),N41(2500),N78(3500)""","Wi-Fi,3G,4G,5G",Bateria de Íons de Lítio de 4.500mAh Bivolt,"Aparelho celular, carregador, cabo USB, Extrator de Chip e manual do usuário",12 Meses,"15,8x7,4x0,84cm",SM-A236M/DSN,Galaxy S20 FE 5G,4004-0000 (Capitais e grandes centros) ou 0800-124-421 (Demais cidades e regiões),Azul,"R$ 1.214,99"
7287293786,7892509129794,Samsung,Nano Chip,Dual Chip,LCD TFT,6.5'',720 x 1600 (HD+),50MP + 8MP + 2MP + 2MP,16MP,Full HD,"MediaTek G37 (2,3 GHz Octa-Core)",2GB,32GB,MicroSD até 1TB,"B1(2100),B2(1900),B3(1800),B4(AWS),B5(850),B7(2600),B8(900),B12(700),B17(700),B28(700),B66(AWS-3)","Wi-Fi,3G,4G",Bateria de Íons de Lítio de 5000mAh Bivolt,"Aparelho celular, carregador, cabo USB, Extrator de Chip e manual do usuário",12 Meses,"16,42x7,59x0,91cm",Galaxy M54,Galaxy A03 Core,4004-0000 (Capitais e grandes centros) ou 0800-124-421 (Demais cidades e regiões),"Prata,Azul","R$ 1.699,15"
6823993390,7892509127042,Samsung,Nano chip,Dual Chip,PLS TFT LCD,6.6'',1080 x 2408 (FHD+),Câmera Tripla Traseira de 12MP (Ultra Wide) + 12MP (OIS) + 8MP (Telephoto),32MP,Full HD,Octa-Core 2.8GHz,4GB,128GB,MicroSD até 1TB,"""FDD: N1(2100),N3(1800),N5(850),N7(2600),N28(700),N66(AWS-3) TDD: N40(2300),N41(2500),N78(3500)""","Wi-Fi, 3G, 4G e 5G",Bateria de Íons de Lítio de 5.000mAh Bivolt,"Aparelho celular, Carregador, Cabo USB, Extrator de Chip e Manual do usuário.",12 meses,"16,5 x 7,6 x 0,84cm",SM-A146M/DS,Galaxy A23 5G,4004-0000 (Capitais e grandes centros) ou 0800-124-421 (Demais cidades e regiões),Verde,"R$ 1.079,99"
7274983198,7892509127554,SAMSUNG,Nano Chip,Dual Chip,PLS LCD,6.6'',1080 x 2408 (FHD+),50 mp + 8 mp,8 mp,Full HD,"Snapdragon 480 + (2,2 GHz Octa-Core) Adreno 619",4GB,128GB,MicroSD até 1TB,"""FDD: N1(2100),N3(1800),N5(850),N7(2600),N28(700),N66(AWS-3) TDD: N40(2300),N41(2500),N78(3500)""","Wi-Fi,3G,4G",Bateria de Íons de Lítio de 5.000mAh Bivolt,"Aparelho celular, Carregador, Cabo USB, Extrator de Chip e Manual do usuário",12 Meses,16.8 x 7.8 x 0.9cm,SM-A546E/DS,Galaxy A14 5G 128GB,4004-0000 (Capitais e grandes centros) ou 0800-124-421 (Demais cidades e regiões),Verde Lima,"R$ 1.781,10"
7275031404,7892509128070,Samsung,Nano-SIM (4FF),Dual Chip,Super AMOLED,"6.4""",1080 x 2340 (FHD+),8MP,5MP,UHD 4K,Octa-Core 1.6GHz,8GB,128GB,MicroSD até 1TB,"GSM850,GSM900,DCS1800,PCS1900 / B1(2100),B2(1900),B4(AWS),B5(850),B8(900) / B1(2100),B2(1900),B3(1800),B4(AWS),B5(850),B7(2600),B8(900),B12(700),B13(700),B17(700) / B20(800),B26(850),B28(700),B32(1500),B66(AWS-3) / FDD: N1(2100),N3(1800),N5(850),N7(2600),N8(900),N28(700),N66(AWS-3) / TDD: N40(2300),N41(2500),N78(3500)","Wi-Fi, 3G, 4G e 5G",Ions de Lítio 5000mAh,"Aparelho celular, Cabo USB, Extrator de Chip e Manual do usuário",12 Meses,"15,8x7,6x0,8cm",SM-A346M/DSN,Galaxy A54 5G 128GB,4004-0000 (Capitais e grandes centros) ou 0800-124-421 (Demais cidades e regiões),Preto,"R$ 1.699,00"
7386528712,7892597353248,Samsung,Nano-SIM (4FF),Dual Chip,Super AMOLED,"6.6""",1080 x 2340 (FHD+),50MP + 5MP + 2MP + 2MP,8MP,UHD 4K,Octa-Core,6GB,128GB,MicroSD até 1TB,"GSM850,GSM900,DCS1800,PCS1900 / B1(2100),B2(1900),B4(AWS),B5(850),B8(900) / B1(2100),B2(1900),B3(1800),B4(AWS),B5(850),B7(2600),B8(900),B12(700),B13(700),B17(700) / B20(800),B26(850),B28(700),B66(AWS-3) / FDD: N1(2100),N3(1800),N5(850),N7(2600),N8(900),N28(700),N66(AWS-3) / TDD: N40(2300),N41(2500),N78(3500)","Wi-Fi,3G,4G,5G",Íons de Lítio 5000mAh,"Aparelho celular, carregador, cabo USB, Extrator de Chip e manual do usuário",12 Meses,"16,1x7,81x0,82cm",Motorola Edge,Galaxy A34 5G 128GB,4004-0000 (Capitais e grandes centros) ou 0800-124-421 (Demais cidades e regiões),"Green - Vegan Leather, Black - Vegan Leather e Viva Magenta - Vegan Leather","R$ 2.879,00"
4820514525,7892509123068,Samsung,Nano Chip,Dual Chip,Super AMOLED,6.5'',1080 x 2400 (FHD+),50MP + 2MP + 2MP,13MP,UHD 8K,Octa-Core,6GB,128GB,MicroSD até 1TB,"B1(2100),B2(1900),B4(AWS),B5(850),B8(900)			
B1(2100),B2(1900),B3(1800),B4(AWS),B5(850),B7(2600),B8(900),B12(700),B13(700),B17(700),B20(800),B26(850),B28(700),B32(1500),B66(AWS-3)			
""FDD: N1(2100),N3(1800),N5(850),N7(2600),N8(900),N28(700)
TDD: N40(2300),N41(2500),N78(3500)""","Wi-Fi, 2G, 3G, 4G e 5G",Bateria de Íons de Lítio de 4.500mAh Bivolt,"Aparelho celular, carregador, cabo USB, Extrator de Chip e manual do usuário",12 Meses,"15,8.x7,4x0,84cm",SM-G781B/DS,Galaxy S20 FE 5G,4004-0000 (Capitais e grandes centros) ou 0800-124-421 (Demais cidades e regiões),Violeta,"R$ 2.268,65"
7462408855,7892509126762,Samsung,Nano Chip,Dual Chip,LCD TFT,6.5'',720 x 1600 (HD+),50MP + 12MP + 5MP,32MP,Full HD,Octa-Core 2.4GHz,2GB,32GB,MicroSD até 1TB,"B1(2100),B2(1900),B3(1800),B4(AWS),B5(850),B7(2600),B8(900),B12(700),B17(700),B28(700),B66(AWS-3)","Wi-Fi, 2G, 3G, 4G e 5G",Bateria de Íons de Lítio de 5000mAh Bivolt,"1 Telefone,1 Capa Protetora,1 Kit De Manuais,1 Fone De Ouvido Estéreo,1 Cabo De Sincronização,1 Carregador Turbopower™,1 Ferramenta De Remoção Do Chip",12 Meses,"16,42x7,59x0,91cm",SM-A042MZCPZTO,Galaxy A03 Core,4004-0000 (Capitais e grandes centros) ou 0800-124-421 (Demais cidades e regiões),Cobre,"R$ 594,15"
5396424431,7892509125567,Motorola,Nano Chip,Dual Chip,Super AMOLED,"6.4""",2340 x 1080 (FHD+),48MP + 8MP + 5MP,13MP,UHD 8K,Octa-Core 2.6GHz,6GB,128GB,Não possui entrada para cartão de memória,"N1(2100),N3(1800),N5(850),N7(2600),N8(900),N20(800),N28(700),N66(AWS-3)","Wi-Fi, 3G, 4G e 5G",Bateria de Íons de Lítio de 4.500mAh Bivolt,"Aparelho celular, Carregador, Cabo USB, Extrator de Chip e Manual do usuário.",12 Meses,"15,57x7,45x0,79cm",SM-A032M/DS,Galaxy S21 FE 5G 128 GB,4004-0000 (Capitais e grandes centros) ou 0800-124-421 (Demais cidades e regiões),VERDE,"R$ 649,00"
7407095523,7892509125789,Motorola,Nano Chip,Dual Chip,PLS LCD,6.6'',1080 x 2408 (FHD+),50 mp ois + 13 mp,32 mp,Full HD,"Dimensity 8020 (2,6 GHz Octa-Core) Mali-G77 MC9",4GB,128GB,MicroSD até 1TB,"""FDD: N1(2100),N3(1800),N5(850),N7(2600),N28(700),N66(AWS-3) TDD: N40(2300),N41(2500),N78(3500)""","Wi-Fi,3G,4G",Bateria de Íons de Lítio de 5.000mAh Bivolt,Celular. carregador. cabo usb. extrator de chip e manual do usuário.,12 Meses,16.8 x 7.8 x 0.9cm,Celular samsung galaxy a04s 64gb dual - sm-a047mzgszto,Galaxy A14 5G 128GB,4004-0000 (Capitais e grandes centros) ou 0800-124-421 (Demais cidades e regiões),Preto,"R$ 809,90"
